ID,Actor1ID,Actor2ID,Date,IsRoot,CAMEOCode,BaseCAMEOCode,RootCAMEOCode,CAMEOQuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Geo_Type,Geo_FullName,Geo_CountryCode,Geo_ADMCode,Geo_Lat,Geo_Long,Geo_FeatureID
1021419703,iu+wbEJuB6CmcaHiSItIWNaUpzA=,tcuwwolRlmVdXo4A7XXP8IZa1GY=,2022-01-01,false,43,43,4,1,2.8,10,1,10,2.61569416498994,4,Ibadan  Oyo  Nigeria,NI,NI32 191242,7.38778,3.89639,-2010458
1021419704,iu+wbEJuB6CmcaHiSItIWNaUpzA=,vqYRWyX9GgtLYth3BHrYawFvR9w=,2022-01-01,false,40,40,4,1,1,30,5,30,-1.74836381541604,1,Italy,IT,IT,42.833333,12.833333,IT
1021419705,iu+wbEJuB6CmcaHiSItIWNaUpzA=,dTqTX0uwzDShqd3QKg03tdDNB9k=,2022-01-01,true,42,42,4,1,1.9,2,1,2,-2.15827338129496,4,Whitehall  Kilkenny  Ireland,EI,EI13 18292,52.6811,-7.02222,-1506191
1021419706,iu+wbEJuB6CmcaHiSItIWNaUpzA=,wdukWBk2h+AioeMBeugOs5LzArE=,2022-01-01,true,43,43,4,1,2.8,12,3,12,-0.82508250825082,4,Dublin  Dublin  Ireland,EI,EI07 18288,53.3331,-6.24889,-1502554
1021419707,iu+wbEJuB6CmcaHiSItIWNaUpzA=,3KOU/5MEO+Nufgw5ZJ/G/NGpyE4=,2022-01-01,false,13,13,1,1,0.4,10,1,10,-3.6734693877551,4,Tehran  Tehran  Iran,IR,IR26 41130,35.75,51.5148,10074674
1021419708,iu+wbEJuB6CmcaHiSItIWNaUpzA=,kwIqikqLkDydJkYKFPm2LcX5r4Y=,2022-01-01,true,14,14,1,1,0,4,1,4,-1.04166666666667,1,Iceland,IC,IC,65,-18,IC
1021419709,iu+wbEJuB6CmcaHiSItIWNaUpzA=,kwIqikqLkDydJkYKFPm2LcX5r4Y=,2022-01-01,true,36,36,3,1,4,10,1,10,-1.04166666666667,1,Iceland,IC,IC,65,-18,IC
1021419710,iu+wbEJuB6CmcaHiSItIWNaUpzA=,bPCeCVt5MYih5p9GCur/x+JRt+s=,2022-01-01,false,40,40,4,1,1,6,1,6,-2.55427841634738,1,Italy,IT,IT,42.833333,12.833333,IT
1021419711,iu+wbEJuB6CmcaHiSItIWNaUpzA=,eTyZn3StZ9cWfUIPCW8EjJgtDok=,2022-01-01,true,20,20,2,1,3,2,1,2,8.33333333333334,4,London  London  City of  United Kingdom,UK,UKH9 40110,51.5,-0.116667,-2601889
1021419712,iu+wbEJuB6CmcaHiSItIWNaUpzA=,QbRRY+ZwAN2Ycy523RQYcikAaKY=,2022-01-01,true,20,20,2,1,3,6,1,6,8.33333333333334,1,United States,US,US,39.828175,-98.5795,US
1021419713,iu+wbEJuB6CmcaHiSItIWNaUpzA=,QbRRY+ZwAN2Ycy523RQYcikAaKY=,2022-01-01,true,51,51,5,1,3.4,3,1,3,8.33333333333334,1,United States,US,US,39.828175,-98.5795,US
1021419714,iu+wbEJuB6CmcaHiSItIWNaUpzA=,3Kf0HBYo7al0M1I6Y9g1/IUwpi4=,2022-01-01,true,20,20,2,1,3,4,1,4,-6.43044619422573,1,Jordan,JO,JO,31,36,JO
1021419715,iu+wbEJuB6CmcaHiSItIWNaUpzA=,3Kf0HBYo7al0M1I6Y9g1/IUwpi4=,2022-01-01,false,173,173,17,4,-5,4,1,4,-6.43044619422573,1,Jordan,JO,JO,31,36,JO
1021419716,iu+wbEJuB6CmcaHiSItIWNaUpzA=,3Kf0HBYo7al0M1I6Y9g1/IUwpi4=,2022-01-01,false,190,190,19,4,-10,4,1,4,-6.43044619422573,1,Jordan,JO,JO,31,36,JO
